ID_Venta,Fecha,Pais,Ciudad,Cliente,Producto,Categoria,Cantidad,Precio_Unitario,Monto_Total,Medio_Envio,Estado_Envio
52,2/11/2024,Brasil,Rio de Janeiro,Lucia Lopez,Teclado,Accesorios,5,1144.18,5720.9,Terrestre,Pendiente
53,21/9/2024,Uruguay,Montevideo,Pedro Garcia,Laptop,Electronica,2,757.7,1515.4,Terrestre,Cancelado
54,8/3/2025,Ecuador,Guayaquil,Juan Rodriguez,Auriculares,Accesorios,1,451,451,Aereo,En transito
55,24/2/2025,Bolivia,La Paz,Ana Martinez,Silla ergonomica,Muebles,5,896.93,4484.65,Aereo,Entregado
56,12/2/2024,Venezuela,Maracaibo,Maria Martinez,Monitor,Electronica,1,171.66,171.66,Aereo,Entregado
57,13/5/2024,Peru,Cusco,Lucia Lopez,Camara,Electronica,2,632.83,1265.66,Aereo,Pendiente
58,30/5/2024,Argentina,Rosario,Juan Perez,Auriculares,Accesorios,4,790.31,3161.24,Aereo,Cancelado
59,4/7/2024,Ecuador,Quito,Maria Garcia,Teclado,Accesorios,1,967.9,967.9,Aereo,En transito
60,18/6/2024,Uruguay,Montevideo,Pedro Lopez,Auriculares,Accesorios,4,1166.91,4667.64,Aereo,Cancelado
61,3/12/2024,Argentina,Cordoba,Laura Sanchez,Monitor,Electronica,1,1184.65,1184.65,Aereo,Cancelado
62,16/1/2024,Ecuador,Guayaquil,Laura Martinez,Tablet,Electronica,5,778.04,3890.2,Maritimo,Pendiente
63,5/11/2024,Bolivia,La Paz,Luis Lopez,Tablet,Electronica,4,1090.29,4361.16,Aereo,En transito
64,7/9/2024,Venezuela,Maracaibo,Maria Martinez,Laptop,Electronica,1,1010.59,1010.59,Terrestre,Pendiente
65,30/11/2024,Peru,Cusco,Juan Martinez,Silla ergonomica,Muebles,4,212.09,848.36,Terrestre,Cancelado
66,13/3/2024,Brasil,Rio de Janeiro,Juan Martinez,Monitor,Electronica,5,309.02,1545.1,Terrestre,En transito
67,22/7/2024,Colombia,Cali,Maria Garcia,Celular,Electronica,3,1086.91,3260.73,Aereo,En transito
68,14/5/2024,Colombia,Medellin,Carlos Sanchez,Silla ergonomica,Muebles,4,1014.16,4056.64,Aereo,En transito
69,28/2/2025,Ecuador,Quito,Pedro Garcia,Laptop,Electronica,2,332.3,664.6,Aereo,Entregado
70,19/1/2025,Argentina,Rosario,Laura Sanchez,Silla ergonomica,Muebles,5,813.84,4069.2,Aereo,En transito
71,21/2/2025,Bolivia,Santa Cruz,Ana Lopez,Camara,Electronica,1,565.99,565.99,Aereo,Entregado
72,13/9/2024,Bolivia,Santa Cruz,Maria Perez,Escritorio,Muebles,1,702.52,702.52,Aereo,En transito
73,18/3/2024,Argentina,Rosario,Ana Sanchez,Impresora,Oficina,5,34.31,171.55,Aereo,Cancelado
74,15/2/2024,Uruguay,Montevideo,Juan Perez,Impresora,Oficina,1,411.43,411.43,Terrestre,Entregado
75,26/7/2024,Peru,Cusco,Juan Rodriguez,Teclado,Accesorios,3,301.86,905.58,Aereo,Entregado
76,15/2/2024,Bolivia,Cochabamba,Maria Garcia,Laptop,Electronica,1,767.33,767.33,Aereo,Pendiente
77,13/1/2025,Venezuela,Caracas,Laura Martinez,Teclado,Accesorios,1,35.47,35.47,Aereo,Pendiente
78,18/6/2024,Brasil,Sao Paulo,Juan Martinez,Escritorio,Muebles,5,484.26,2421.3,Aereo,En transito
79,4/7/2024,Peru,Cusco,Laura Rodriguez,Impresora,Oficina,1,517.02,517.02,Aereo,Pendiente
80,30/10/2024,Venezuela,Caracas,Ana Perez,Auriculares,Accesorios,2,553.42,1106.84,Maritimo,Entregado
81,19/10/2024,Uruguay,Montevideo,Pedro Sanchez,Laptop,Electronica,2,967.58,1935.16,Aereo,Pendiente
82,2/8/2024,Venezuela,Maracaibo,Luis Rodriguez,Celular,Electronica,2,416.39,832.78,Aereo,Entregado
83,19/6/2024,Uruguay,Montevideo,Ana Perez,Teclado,Accesorios,1,564.89,564.89,Maritimo,Entregado
84,7/3/2025,Colombia,Medellin,Luis Martinez,Camara,Electronica,3,1144.82,3434.46,Maritimo,En transito
85,1/10/2024,Ecuador,Quito,Pedro Rodriguez,Tablet,Electronica,1,578.07,578.07,Maritimo,Pendiente
86,19/9/2024,Chile,Santiago,Juan Lopez,Celular,Electronica,1,123.74,123.74,Aereo,Pendiente
87,1/3/2025,Venezuela,Maracaibo,Maria Martinez,Monitor,Electronica,4,584.53,2338.12,Maritimo,En transito
88,11/11/2024,Uruguay,Paysandu,Juan Garcia,Celular,Electronica,2,125.45,250.9,Maritimo,En transito
89,27/9/2024,Colombia,Cali,Ana Martinez,Impresora,Oficina,5,1162.73,5813.65,Maritimo,Entregado
90,19/5/2024,Peru,Lima,Maria Rodriguez,Auriculares,Accesorios,4,682.56,2730.24,Terrestre,En transito
91,3/1/2025,Paraguay,Ciudad del Este,Laura Rodriguez,Tablet,Electronica,3,564.61,1693.83,Aereo,En transito
92,17/5/2024,Uruguay,Salto,Maria Garcia,Teclado,Accesorios,4,944.07,3776.28,Aereo,Cancelado
93,16/4/2024,Venezuela,Valencia,Maria Perez,Camara,Electronica,4,287.86,1151.44,Maritimo,Pendiente
94,25/3/2024,Paraguay,Ciudad del Este,Luis Lopez,Teclado,Accesorios,4,381.26,1525.04,Aereo,En transito
95,4/2/2025,Uruguay,Paysandu,Juan Garcia,Escritorio,Muebles,1,543.99,543.99,Terrestre,En transito
96,12/1/2025,Chile,Santiago,Luis Martinez,Silla ergonomica,Muebles,1,723.41,723.41,Aereo,Entregado
97,21/9/2024,Colombia,Medellin,Laura Rodriguez,Celular,Electronica,1,483.83,483.83,Terrestre,Pendiente
98,7/6/2024,Paraguay,Ciudad del Este,Lucia Perez,Tablet,Electronica,4,370.69,1482.76,Maritimo,En transito
99,1/9/2024,Venezuela,Caracas,Ana Sanchez,Camara,Electronica,4,483.29,1933.16,Aereo,Entregado
100,27/3/2024,Bolivia,Santa Cruz,Juan Lopez,Laptop,Electronica,3,339.56,1018.68,Maritimo,Cancelado
101,15/3/2024,Uruguay,Montevideo,Luis Lopez,Celular,Electronica,2,378.87,757.74,Terrestre,Entregado
102,2/5/2024,Argentina,Cordoba,Ana Garcia,Laptop,Electronica,5,977.65,4888.25,Aereo,Pendiente
103,9/4/2024,Brasil,Rio de Janeiro,Luis Sanchez,Laptop,Electronica,4,1072.49,4289.96,Terrestre,Entregado
104,5/5/2024,Ecuador,Cuenca,Pedro Sanchez,Monitor,Electronica,1,295.49,295.49,Aereo,Cancelado
105,17/12/2024,Peru,Lima,Pedro Lopez,Silla ergonomica,Muebles,3,733.92,2201.76,Terrestre,En transito
106,5/3/2024,Colombia,Bogota,Lucia Martinez,Impresora,Oficina,5,559.94,2799.7,Terrestre,Cancelado
107,15/3/2024,Colombia,Cali,Maria Perez,Escritorio,Muebles,1,89.41,89.41,Aereo,Entregado
108,2/8/2024,Chile,Concepcion,Ana Lopez,Silla ergonomica,Muebles,2,726.03,1452.06,Terrestre,En transito
109,23/7/2024,Colombia,Cali,Ana Martinez,Silla ergonomica,Muebles,1,101.38,101.38,Terrestre,Entregado
110,26/8/2024,Brasil,Brasilia,Laura Garcia,Laptop,Electronica,2,352.48,704.96,Terrestre,Pendiente
111,20/7/2024,Venezuela,Caracas,Carlos Rodriguez,Escritorio,Muebles,5,387.84,1939.2,Terrestre,Entregado
112,20/5/2024,Argentina,Buenos Aires,Juan Rodriguez,Camara,Electronica,2,94.41,188.82,Maritimo,Entregado
113,12/9/2024,Ecuador,Cuenca,Lucia Lopez,Impresora,Oficina,5,588.31,2941.55,Terrestre,En transito
114,8/2/2025,Paraguay,Encarnacion,Maria Martinez,Silla ergonomica,Muebles,5,710.17,3550.85,Aereo,Cancelado
115,12/12/2024,Bolivia,La Paz,Lucia Sanchez,Celular,Electronica,4,28.49,113.96,Terrestre,Pendiente
116,15/7/2024,Chile,Santiago,Lucia Lopez,Escritorio,Muebles,3,706.41,2119.23,Aereo,En transito
117,9/1/2024,Paraguay,Ciudad del Este,Lucia Martinez,Monitor,Electronica,3,709.86,2129.58,Terrestre,Cancelado
118,11/9/2024,Chile,Santiago,Juan Martinez,Camara,Electronica,2,50.58,101.16,Maritimo,Pendiente
119,29/5/2024,Brasil,Brasilia,Laura Sanchez,Camara,Electronica,2,139.82,279.64,Aereo,Cancelado
120,23/4/2024,Brasil,Rio de Janeiro,Carlos Sanchez,Escritorio,Muebles,2,73.44,146.88,Aereo,Cancelado
121,25/1/2024,Brasil,Sao Paulo,Pedro Sanchez,Monitor,Electronica,3,891.94,2675.82,Terrestre,Cancelado
122,31/12/2024,Peru,Cusco,Lucia Martinez,Impresora,Oficina,2,938.67,1877.34,Terrestre,Entregado
123,30/8/2024,Peru,Lima,Luis Lopez,Camara,Electronica,3,888.7,2666.1,Maritimo,Cancelado
124,13/3/2024,Paraguay,Encarnacion,Carlos Sanchez,Auriculares,Accesorios,3,39.03,117.09,Aereo,Pendiente
125,17/1/2025,Bolivia,Santa Cruz,Luis Garcia,Tablet,Electronica,2,778.74,1557.48,Aereo,Pendiente
126,19/8/2024,Bolivia,Santa Cruz,Lucia Garcia,Silla ergonomica,Muebles,2,928.82,1857.64,Terrestre,Entregado
127,3/11/2024,Chile,Santiago,Laura Rodriguez,Celular,Electronica,2,658.84,1317.68,Aereo,Cancelado
128,15/8/2024,Argentina,Cordoba,Laura Sanchez,Teclado,Accesorios,3,979.93,2939.79,Terrestre,Pendiente
129,25/6/2024,Chile,Santiago,Lucia Martinez,Camara,Electronica,4,405.15,1620.6,Aereo,Pendiente
130,28/6/2024,Chile,Santiago,Lucia Sanchez,Celular,Electronica,5,1129.52,5647.6,Maritimo,Pendiente
131,29/12/2024,Venezuela,Maracaibo,Maria Sanchez,Monitor,Electronica,3,601.07,1803.21,Terrestre,Pendiente
132,12/4/2024,Colombia,Medellin,Lucia Garcia,Camara,Electronica,4,265.11,1060.44,Terrestre,En transito
133,12/10/2024,Bolivia,La Paz,Juan Martinez,Escritorio,Muebles,1,1119.96,1119.96,Maritimo,Pendiente
134,25/1/2024,Chile,Santiago,Maria Rodriguez,Celular,Electronica,3,381.12,1143.36,Maritimo,Entregado
135,6/1/2025,Bolivia,La Paz,Lucia Garcia,Teclado,Accesorios,1,1104.43,1104.43,Terrestre,Pendiente
136,28/8/2024,Brasil,Brasilia,Maria Martinez,Auriculares,Accesorios,5,688.11,3440.55,Terrestre,Cancelado
137,14/7/2024,Ecuador,Guayaquil,Laura Sanchez,Tablet,Electronica,5,392.24,1961.2,Aereo,En transito
138,14/3/2025,Chile,Santiago,Carlos Rodriguez,Camara,Electronica,4,320.92,1283.68,Aereo,Cancelado
139,8/5/2024,Colombia,Bogota,Juan Sanchez,Impresora,Oficina,5,37.79,188.95,Aereo,En transito
140,12/1/2025,Argentina,Buenos Aires,Maria Sanchez,Teclado,Accesorios,2,95.37,190.74,Terrestre,Cancelado
141,26/7/2024,Uruguay,Paysandu,Carlos Rodriguez,Teclado,Accesorios,4,1152.64,4610.56,Terrestre,Entregado
142,3/4/2024,Colombia,Medellin,Carlos Perez,Impresora,Oficina,1,115.6,115.6,Maritimo,Cancelado
143,10/10/2024,Ecuador,Guayaquil,Maria Lopez,Silla ergonomica,Muebles,1,889.27,889.27,Aereo,En transito
144,10/6/2024,Ecuador,Guayaquil,Pedro Sanchez,Camara,Electronica,5,180.04,900.2,Maritimo,En transito
145,3/2/2024,Argentina,Rosario,Carlos Lopez,Impresora,Oficina,2,332.02,664.04,Maritimo,Cancelado
146,15/3/2024,Bolivia,Santa Cruz,Carlos Rodriguez,Camara,Electronica,3,472.1,1416.3,Maritimo,En transito
147,25/8/2024,Peru,Arequipa,Lucia Lopez,Camara,Electronica,3,215.43,646.29,Maritimo,En transito
148,2/2/2024,Peru,Cusco,Carlos Martinez,Tablet,Electronica,5,1007.05,5035.25,Aereo,Pendiente
149,18/10/2024,Paraguay,Ciudad del Este,Maria Garcia,Celular,Electronica,4,176.98,707.92,Aereo,En transito
150,7/6/2024,Uruguay,Paysandu,Carlos Martinez,Auriculares,Accesorios,3,572.37,1717.11,Aereo,Cancelado
151,23/5/2024,Argentina,Rosario,Maria Rodriguez,Silla ergonomica,Muebles,2,61.34,122.68,Terrestre,En transito
152,12/7/2024,Chile,Santiago,Laura Rodriguez,Tablet,Electronica,1,1041.61,1041.61,Aereo,Entregado
153,25/12/2024,Paraguay,Ciudad del Este,Carlos Sanchez,Escritorio,Muebles,3,1067.18,3201.54,Terrestre,Entregado
154,17/10/2024,Uruguay,Montevideo,Pedro Sanchez,Escritorio,Muebles,2,1192.34,2384.68,Terrestre,Cancelado
155,4/8/2024,Peru,Lima,Carlos Sanchez,Silla ergonomica,Muebles,5,381.27,1906.35,Terrestre,Pendiente
156,17/7/2024,Ecuador,Quito,Carlos Garcia,Impresora,Oficina,1,1024.78,1024.78,Aereo,Pendiente
157,31/7/2024,Argentina,Buenos Aires,Luis Rodriguez,Silla ergonomica,Muebles,5,1103.84,5519.2,Maritimo,Cancelado
158,7/4/2024,Peru,Lima,Maria Martinez,Auriculares,Accesorios,2,294.16,588.32,Aereo,En transito
159,16/8/2024,Argentina,Cordoba,Luis Martinez,Impresora,Oficina,1,1009.29,1009.29,Terrestre,Cancelado
160,3/12/2024,Venezuela,Valencia,Carlos Lopez,Escritorio,Muebles,4,442.92,1771.68,Aereo,En transito
161,22/2/2024,Chile,Valparaiso,Ana Rodriguez,Laptop,Electronica,3,921.34,2764.02,Terrestre,Pendiente
162,19/9/2024,Peru,Lima,Pedro Rodriguez,Tablet,Electronica,4,836.32,3345.28,Terrestre,Entregado
163,27/2/2025,Argentina,Cordoba,Pedro Lopez,Impresora,Oficina,2,203.59,407.18,Aereo,Pendiente
164,9/1/2025,Argentina,Rosario,Lucia Perez,Silla ergonomica,Muebles,2,268.77,537.54,Terrestre,Pendiente
165,27/6/2024,Chile,Santiago,Pedro Garcia,Escritorio,Muebles,1,431.19,431.19,Terrestre,Pendiente
166,22/3/2025,Paraguay,Encarnacion,Ana Sanchez,Celular,Electronica,4,1166.11,4664.44,Aereo,Pendiente
167,24/8/2024,Brasil,Rio de Janeiro,Maria Rodriguez,Silla ergonomica,Muebles,3,118.76,356.28,Terrestre,Entregado
168,12/12/2024,Brasil,Rio de Janeiro,Lucia Sanchez,Auriculares,Accesorios,5,94.4,472,Terrestre,En transito
169,15/9/2024,Argentina,Cordoba,Maria Rodriguez,Celular,Electronica,3,697.11,2091.33,Maritimo,Entregado
170,25/7/2024,Peru,Lima,Lucia Lopez,Escritorio,Muebles,3,781.91,2345.73,Maritimo,Pendiente
171,9/1/2025,Argentina,Rosario,Maria Lopez,Laptop,Electronica,4,1171.62,4686.48,Maritimo,En transito
172,14/7/2024,Chile,Concepcion,Carlos Garcia,Monitor,Electronica,5,1161.61,5808.05,Terrestre,Pendiente
173,2/1/2024,Colombia,Medellin,Ana Rodriguez,Escritorio,Muebles,2,126.08,252.16,Aereo,En transito
174,1/7/2024,Bolivia,La Paz,Pedro Garcia,Impresora,Oficina,3,1087.96,3263.88,Terrestre,Entregado
175,15/10/2024,Paraguay,Ciudad del Este,Lucia Perez,Laptop,Electronica,3,549.88,1649.64,Maritimo,Entregado
176,30/3/2024,Uruguay,Montevideo,Maria Sanchez,Laptop,Electronica,5,239.76,1198.8,Aereo,Pendiente
177,26/10/2024,Brasil,Sao Paulo,Maria Lopez,Teclado,Accesorios,2,1082.24,2164.48,Terrestre,Cancelado
178,16/3/2025,Chile,Valparaiso,Luis Perez,Auriculares,Accesorios,1,456.76,456.76,Maritimo,Entregado
179,29/10/2024,Ecuador,Quito,Juan Sanchez,Silla ergonomica,Muebles,5,371.33,1856.65,Aereo,Pendiente
180,29/9/2024,Uruguay,Paysandu,Pedro Garcia,Teclado,Accesorios,1,573.82,573.82,Aereo,En transito
181,9/3/2024,Chile,Santiago,Juan Sanchez,Impresora,Oficina,4,145.83,583.32,Aereo,Cancelado
182,10/4/2024,Colombia,Cali,Pedro Lopez,Celular,Electronica,3,500.44,1501.32,Aereo,Cancelado
183,16/6/2024,Colombia,Bogota,Luis Sanchez,Escritorio,Muebles,1,398.14,398.14,Maritimo,Pendiente
184,20/5/2024,Colombia,Medellin,Pedro Garcia,Auriculares,Accesorios,5,621.68,3108.4,Aereo,Pendiente
185,10/10/2024,Ecuador,Guayaquil,Carlos Sanchez,Escritorio,Muebles,1,817.39,817.39,Terrestre,En transito
186,24/11/2024,Colombia,Medellin,Luis Lopez,Teclado,Accesorios,3,521.24,1563.72,Maritimo,Entregado
187,23/2/2025,Colombia,Cali,Carlos Lopez,Celular,Electronica,3,1013.46,3040.38,Terrestre,Pendiente
188,22/11/2024,Chile,Valparaiso,Pedro Sanchez,Tablet,Electronica,2,237.5,475,Terrestre,Pendiente
189,26/1/2024,Paraguay,Ciudad del Este,Maria Martinez,Teclado,Accesorios,2,1196.91,2393.82,Maritimo,Pendiente
190,9/2/2025,Bolivia,Santa Cruz,Ana Garcia,Escritorio,Muebles,4,549.12,2196.48,Maritimo,Cancelado
191,11/1/2025,Colombia,Cali,Carlos Rodriguez,Monitor,Electronica,1,957.51,957.51,Terrestre,En transito
192,21/1/2025,Paraguay,Asuncion,Maria Rodriguez,Silla ergonomica,Muebles,5,482.19,2410.95,Terrestre,Entregado
193,3/11/2024,Paraguay,Ciudad del Este,Laura Lopez,Camara,Electronica,5,572.38,2861.9,Terrestre,Pendiente
194,13/10/2024,Uruguay,Paysandu,Pedro Garcia,Laptop,Electronica,3,1027.77,3083.31,Maritimo,Pendiente
195,17/11/2024,Peru,Cusco,Laura Lopez,Escritorio,Muebles,4,219.24,876.96,Maritimo,En transito
196,22/2/2025,Ecuador,Cuenca,Laura Lopez,Teclado,Accesorios,1,163.2,163.2,Terrestre,En transito
197,7/3/2025,Argentina,Rosario,Lucia Martinez,Teclado,Accesorios,4,216.13,864.52,Terrestre,Cancelado
198,20/3/2024,Brasil,Brasilia,Carlos Perez,Teclado,Accesorios,2,895.65,1791.3,Maritimo,Pendiente
199,24/12/2024,Venezuela,Maracaibo,Lucia Lopez,Celular,Electronica,4,801.08,3204.32,Terrestre,Entregado
200,5/1/2025,Colombia,Medellin,Carlos Rodriguez,Impresora,Oficina,5,1008.94,5044.7,Maritimo,Entregado
201,21/1/2025,Ecuador,Cuenca,Juan Garcia,Camara,Electronica,2,807.09,1614.18,Terrestre,En transito
202,16/6/2024,Ecuador,Guayaquil,Juan Sanchez,Monitor,Electronica,4,1094.91,4379.64,Maritimo,Pendiente
203,16/4/2024,Brasil,Brasilia,Lucia Garcia,Teclado,Accesorios,1,167.07,167.07,Aereo,Cancelado
204,27/12/2024,Chile,Concepcion,Maria Rodriguez,Tablet,Electronica,2,217.8,435.6,Aereo,Pendiente
205,16/9/2024,Paraguay,Asuncion,Ana Garcia,Celular,Electronica,3,985.79,2957.37,Aereo,En transito
206,29/2/2024,Ecuador,Guayaquil,Juan Sanchez,Camara,Electronica,3,1096.95,3290.85,Terrestre,Pendiente
207,20/11/2024,Chile,Santiago,Luis Lopez,Laptop,Electronica,1,602.03,602.03,Maritimo,Cancelado
208,20/2/2025,Argentina,Rosario,Juan Perez,Auriculares,Accesorios,1,140.49,140.49,Terrestre,Entregado
209,15/3/2025,Ecuador,Quito,Luis Rodriguez,Teclado,Accesorios,4,119.85,479.4,Terrestre,En transito
210,1/3/2025,Ecuador,Quito,Juan Sanchez,Silla ergonomica,Muebles,1,542.99,542.99,Aereo,Cancelado
211,10/12/2024,Uruguay,Montevideo,Carlos Martinez,Camara,Electronica,2,273.46,546.92,Terrestre,Cancelado
212,28/6/2024,Paraguay,Ciudad del Este,Luis Perez,Auriculares,Accesorios,4,585.02,2340.08,Aereo,Cancelado
213,15/3/2025,Bolivia,La Paz,Pedro Lopez,Laptop,Electronica,2,1179.69,2359.38,Maritimo,Cancelado
214,1/9/2024,Brasil,Brasilia,Juan Perez,Monitor,Electronica,4,125.78,503.12,Aereo,Cancelado
215,18/5/2024,Ecuador,Guayaquil,Luis Sanchez,Camara,Electronica,5,668.07,3340.35,Aereo,Entregado
216,7/12/2024,Ecuador,Cuenca,Ana Garcia,Monitor,Electronica,2,1041.23,2082.46,Terrestre,Cancelado
217,14/9/2024,Paraguay,Encarnacion,Laura Sanchez,Silla ergonomica,Muebles,2,315.53,631.06,Aereo,Pendiente
218,26/3/2024,Paraguay,Ciudad del Este,Ana Martinez,Tablet,Electronica,1,630.06,630.06,Terrestre,Pendiente
219,26/1/2024,Argentina,Cordoba,Maria Martinez,Monitor,Electronica,2,413.47,826.94,Maritimo,Cancelado
220,2/2/2024,Bolivia,Cochabamba,Luis Martinez,Impresora,Oficina,5,57.61,288.05,Aereo,Entregado
221,14/4/2024,Peru,Cusco,Pedro Rodriguez,Auriculares,Accesorios,4,1100.29,4401.16,Aereo,Pendiente
222,12/12/2024,Peru,Arequipa,Carlos Rodriguez,Camara,Electronica,1,621.37,621.37,Terrestre,Cancelado
223,23/2/2024,Chile,Valparaiso,Juan Rodriguez,Impresora,Oficina,2,543.02,1086.04,Terrestre,Pendiente
224,3/5/2024,Argentina,Cordoba,Lucia Sanchez,Escritorio,Muebles,2,641.11,1282.22,Aereo,Entregado
225,30/8/2024,Colombia,Medellin,Luis Martinez,Celular,Electronica,3,445.72,1337.16,Maritimo,Cancelado
